Bundling 6%
Bundling 19%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Getting composition
Composition          AionNexus
Codec                h264
Output               out.mp4
Concurrency          2x
Rendered 95/1800, time remaining: 19m 22s
Rendered 96/1800, time remaining: 19m 31s
Rendered 96/1800, time remaining: 19m 31s
Rendered 97/1800, time remaining: 19m 25s
Rendered 97/1800, time remaining: 19m 25s
Rendered 98/1800, time remaining: 19m 28s
Rendered 98/1800, time remaining: 19m 28s
Rendered 99/1800, time remaining: 19m 21s
Rendered 99/1800, time remaining: 19m 21s
Rendered 99/1800, time remaining: 19m 21s
Rendered 100/1800, time remaining: 19m 26s
Rendered 100/1800, time remaining: 19m 26s
Rendered 101/1800, time remaining: 19m 18s
Rendered 101/1800, time remaining: 19m 18s
Rendered 101/1800, time remaining: 19m 18s
Rendered 102/1800, time remaining: 19m 24s
Rendered 103/1800, time remaining: 19m 17s
Rendered 103/1800, time remaining: 19m 17s
Rendered 103/1800, time remaining: 19m 17s
Rendered 103/1800, time remaining: 19m 17s
Rendered 104/1800, time remaining: 19m 22s
Rendered 105/1800, time remaining: 19m 15s
Rendered 105/1800, time remaining: 19m 15s
Rendered 105/1800, time remaining: 19m 15s
Rendered 106/1800, time remaining: 19m 19s
Rendered 106/1800, time remaining: 19m 19s
Rendered 107/1800, time remaining: 19m 11s
Rendered 107/1800, time remaining: 19m 11s
Rendered 107/1800, time remaining: 19m 11s
Rendered 108/1800, time remaining: 19m 16s
Rendered 109/1800, time remaining: 19m 7s
Rendered 109/1800, time remaining: 19m 7s
Rendered 109/1800, time remaining: 19m 7s
Rendered 110/1800, time remaining: 19m 12s
Rendered 111/1800, time remaining: 19m 4s
Rendered 111/1800, time remaining: 19m 4s
Rendered 111/1800, time remaining: 19m 4s
Rendered 112/1800, time remaining: 19m 8s
Rendered 112/1800, time remaining: 19m 8s
Rendered 113/1800, time remaining: 19m 0s
Rendered 113/1800, time remaining: 19m 0s
Rendered 113/1800, time remaining: 19m 0s
Rendered 114/1800, time remaining: 19m 5s
Rendered 115/1800, time remaining: 18m 57s
Rendered 115/1800, time remaining: 18m 57s
Rendered 115/1800, time remaining: 18m 57s
Rendered 116/1800, time remaining: 19m 2s
Rendered 116/1800, time remaining: 19m 2s
Rendered 117/1800, time remaining: 18m 55s
Rendered 117/1800, time remaining: 18m 55s
Rendered 117/1800, time remaining: 18m 55s
Rendered 118/1800, time remaining: 18m 58s
Rendered 119/1800, time remaining: 18m 52s
Rendered 119/1800, time remaining: 18m 52s
Rendered 119/1800, time remaining: 18m 52s
Rendered 120/1800, time remaining: 18m 56s
Rendered 120/1800, time remaining: 18m 56s
Rendered 121/1800, time remaining: 18m 49s
Rendered 121/1800, time remaining: 18m 49s
Rendered 121/1800, time remaining: 18m 49s
Rendered 122/1800, time remaining: 18m 54s
Rendered 123/1800, time remaining: 18m 47s
Rendered 123/1800, time remaining: 18m 47s
Rendered 123/1800, time remaining: 18m 47s
Rendered 124/1800, time remaining: 18m 50s
Rendered 124/1800, time remaining: 18m 50s
Rendered 125/1800, time remaining: 18m 45s
Rendered 125/1800, time remaining: 18m 45s
Rendered 125/1800, time remaining: 18m 45s
Rendered 126/1800, time remaining: 18m 48s
Rendered 127/1800, time remaining: 18m 42s
Rendered 127/1800, time remaining: 18m 42s
Rendered 127/1800, time remaining: 18m 42s
Rendered 128/1800, time remaining: 18m 45s
Rendered 128/1800, time remaining: 18m 45s
Rendered 129/1800, time remaining: 18m 39s
Rendered 129/1800, time remaining: 18m 39s
