Bundling 6%
Bundling 19%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Getting composition
Composition          AionNexus
Codec                h264
Output               out.mp4
Concurrency          4x
Rendered 100/1800, time remaining: 14m 49s
Rendered 100/1800, time remaining: 14m 49s
Rendered 101/1800, time remaining: 14m 56s
Rendered 101/1800, time remaining: 14m 56s
Rendered 102/1800, time remaining: 14m 53s
Rendered 102/1800, time remaining: 14m 53s
Rendered 103/1800, time remaining: 14m 53s
Rendered 104/1800, time remaining: 14m 46s
Rendered 104/1800, time remaining: 14m 46s
Rendered 104/1800, time remaining: 14m 46s
Rendered 105/1800, time remaining: 14m 52s
Rendered 105/1800, time remaining: 14m 52s
Rendered 106/1800, time remaining: 14m 50s
Rendered 106/1800, time remaining: 14m 50s
Rendered 107/1800, time remaining: 14m 48s
Rendered 107/1800, time remaining: 14m 48s
Rendered 108/1800, time remaining: 14m 44s
Rendered 108/1800, time remaining: 14m 44s
Rendered 109/1800, time remaining: 14m 49s
Rendered 109/1800, time remaining: 14m 49s
Rendered 110/1800, time remaining: 14m 48s
Rendered 110/1800, time remaining: 14m 48s
Rendered 111/1800, time remaining: 14m 47s
Rendered 111/1800, time remaining: 14m 47s
Rendered 112/1800, time remaining: 14m 44s
Rendered 112/1800, time remaining: 14m 44s
Rendered 113/1800, time remaining: 14m 46s
Rendered 113/1800, time remaining: 14m 46s
Rendered 114/1800, time remaining: 14m 43s
Rendered 114/1800, time remaining: 14m 43s
Rendered 114/1800, time remaining: 14m 43s
Rendered 115/1800, time remaining: 14m 45s
Rendered 116/1800, time remaining: 14m 42s
Rendered 116/1800, time remaining: 14m 42s
Rendered 116/1800, time remaining: 14m 42s
Rendered 117/1800, time remaining: 14m 47s
Rendered 117/1800, time remaining: 14m 47s
Rendered 118/1800, time remaining: 14m 42s
Rendered 118/1800, time remaining: 14m 42s
Rendered 119/1800, time remaining: 14m 43s
Rendered 119/1800, time remaining: 14m 43s
Rendered 120/1800, time remaining: 14m 43s
Rendered 120/1800, time remaining: 14m 43s
Rendered 121/1800, time remaining: 14m 41s
Rendered 121/1800, time remaining: 14m 41s
Rendered 122/1800, time remaining: 14m 39s
Rendered 122/1800, time remaining: 14m 39s
Rendered 123/1800, time remaining: 14m 41s
Rendered 123/1800, time remaining: 14m 41s
Rendered 124/1800, time remaining: 14m 40s
Rendered 124/1800, time remaining: 14m 40s
Rendered 125/1800, time remaining: 14m 38s
Rendered 126/1800, time remaining: 14m 34s
Rendered 126/1800, time remaining: 14m 34s
Rendered 126/1800, time remaining: 14m 34s
Rendered 126/1800, time remaining: 14m 34s
Rendered 127/1800, time remaining: 14m 42s
Rendered 127/1800, time remaining: 14m 42s
Rendered 128/1800, time remaining: 14m 43s
Rendered 129/1800, time remaining: 14m 38s
Rendered 130/1800, time remaining: 14m 31s
Rendered 130/1800, time remaining: 14m 31s
Rendered 130/1800, time remaining: 14m 31s
Rendered 130/1800, time remaining: 14m 31s
Rendered 131/1800, time remaining: 14m 40s
Rendered 131/1800, time remaining: 14m 40s
Rendered 132/1800, time remaining: 14m 38s
Rendered 133/1800, time remaining: 14m 36s
Rendered 133/1800, time remaining: 14m 36s
Rendered 134/1800, time remaining: 14m 30s
Rendered 134/1800, time remaining: 14m 30s
Rendered 134/1800, time remaining: 14m 30s
Rendered 135/1800, time remaining: 14m 35s
Rendered 135/1800, time remaining: 14m 35s
Rendered 136/1800, time remaining: 14m 36s
Rendered 136/1800, time remaining: 14m 36s
Rendered 137/1800, time remaining: 14m 33s
Rendered 138/1800, time remaining: 14m 28s
Rendered 138/1800, time remaining: 14m 28s
Rendered 138/1800, time remaining: 14m 28s
Rendered 139/1800, time remaining: 14m 32s
Rendered 139/1800, time remaining: 14m 32s
Rendered 140/1800, time remaining: 14m 33s
Rendered 140/1800, time remaining: 14m 33s
Rendered 141/1800, time remaining: 14m 30s
Rendered 142/1800, time remaining: 14m 27s
Rendered 142/1800, time remaining: 14m 27s
Rendered 142/1800, time remaining: 14m 27s
Rendered 143/1800, time remaining: 14m 31s
Rendered 143/1800, time remaining: 14m 31s
Rendered 144/1800, time remaining: 14m 31s
Rendered 145/1800, time remaining: 14m 26s
Rendered 145/1800, time remaining: 14m 26s
Rendered 146/1800, time remaining: 14m 25s
Rendered 146/1800, time remaining: 14m 25s
Rendered 146/1800, time remaining: 14m 25s
Rendered 147/1800, time remaining: 14m 30s
Rendered 147/1800, time remaining: 14m 30s
Rendered 148/1800, time remaining: 14m 28s
Rendered 148/1800, time remaining: 14m 28s
Rendered 149/1800, time remaining: 14m 23s
Rendered 149/1800, time remaining: 14m 23s
Rendered 150/1800, time remaining: 14m 22s
Rendered 150/1800, time remaining: 14m 22s
Rendered 150/1800, time remaining: 14m 22s
Rendered 151/1800, time remaining: 14m 7s
Rendered 152/1800, time remaining: 14m 9s
Rendered 152/1800, time remaining: 14m 9s
Rendered 153/1800, time remaining: 14m 9s
Rendered 154/1800, time remaining: 14m 12s
Rendered 154/1800, time remaining: 14m 12s
Rendered 154/1800, time remaining: 14m 12s
Rendered 155/1800, time remaining: 14m 2s
Rendered 155/1800, time remaining: 14m 2s
Rendered 156/1800, time remaining: 14m 5s
Rendered 156/1800, time remaining: 14m 5s
Rendered 157/1800, time remaining: 14m 7s
Rendered 157/1800, time remaining: 14m 7s
Rendered 158/1800, time remaining: 14m 8s
Rendered 158/1800, time remaining: 14m 8s
Rendered 159/1800, time remaining: 13m 59s
Rendered 159/1800, time remaining: 13m 59s
Rendered 160/1800, time remaining: 14m 3s
Rendered 160/1800, time remaining: 14m 3s
Rendered 161/1800, time remaining: 14m 2s
Rendered 161/1800, time remaining: 14m 2s
Rendered 162/1800, time remaining: 14m 5s
Rendered 162/1800, time remaining: 14m 5s
Rendered 163/1800, time remaining: 14m 0s
Rendered 163/1800, time remaining: 14m 0s
Rendered 164/1800, time remaining: 14m 1s
Rendered 164/1800, time remaining: 14m 1s
Rendered 165/1800, time remaining: 14m 4s
Rendered 165/1800, time remaining: 14m 4s
